,Chat_msg
1361,talisman    sol in burner wallet   ready to go
1362,hi
1363,haha great     
1364,woopwoop
1365,hi
1366,never mind ill just ping our chat your ticket
1367,trying to work  
1368,gm
1369,yep awesome weather today enjoying it how bout you
1370,how do i do that
1371,great your okay
1372,ayo
1373,sup guys
1374,what server u from
1375,me too
1376,all right can u tmention your ticket here
1377,woop woop
1378,iam from the netherlands
1380,woopwoop
1381,hi
1382,i have no access to those tickets unfortunately ill ping our team regarding that where u from
1383,woop woop
1384,heej i have created a ticket for my holders role can you help me out  
1385,hey
1387,hello fam how is it going
1388,gm
1389,thank you
1391,hi
1393,just received my talisman
1394,hi all here from inx and furrsol
1395,k
1396,oops
1397,woop woop   
1398,i am short of  sol
1399,thank you
1400,no worries fam
1401,thbxz
1402,thbxz bro
1404, utc
1406,do we know how many talisman tokens are available total just curious for my mental lol
1407,guys wat time is the mint
1408,its  just some few sol for fees as usual
1409,where was the rarity paper for fabulosa can t find it again
1410,woopwoop
1411,yo
1412,thats for talisman 
1413,yeah just mint with the wallet
1414,including the transaction fees ofc
1415,better buy at fff bro its so cheap like its just penny
1416,i think 
1417,i thought 
1418,yes
1419,i  m trying very hard t  get wl
1420,so i just use the token to mint is that correct
1421,lol
1423,how much is mint
1424,thank you
1425,yo
1426,if u really wanna be a paperhand be with some great skills how can u be happy at  sol like did u guys invested ur time just for earning a wage
1427,yay received my beautiful token  
1428,hi
1429,it s should be  sol fp
1430,lol
1431,ok  
1432,just the kiddos listing at  sol omg
1433,it will come
1434,i dont received bro  
1435,thanks
1436,you can mint
1437,yesss
1439,yes it is
1440,fp 
1441, thats why i bought another one
1443,someone confirm is this legit
1444,yeah
1445,yo
1446,wl token verified on fff 
1447,it will be expensive soon
1448,it s really cheap now 
1449,ohhh wow
1450,wen my airdrop token    
1451,is this legit
1452,lol
1453,i just got airdrop
1454,i bought another one
1455,i m sure there will be a whale to shock the paperhanders
1456,maybe  or so
1458,woop woop
1460,if you submitted your wallet it will come   patience 
1461,just receive my token  thz team
1462,how many listing of token right now at fff
1463,still waiting for the token airdrop wenn
1464,lol
1465,mine not yet
1466,yo
1467,eat sleep nft repeat
1468,hello can you please check out my ticket  
1469,yo
1470,nice
1471,thz 
1472,happy minting fam   
1473,you need talisman in your wallet  those are still being airdropped if you submitted your wallet and  sol for minting
1474,no i mint
1475,woop woop
1476,are you going to sell right
1477, no
1478,thz recieved token 
1480,is wl overallocated
1481,your good
1482,it s should be  sol
1483,but why will you want to sell this kind of token
1484,thanks mate so ill just wait for the link to drop and mint thats it 
1485,the wl token will moon couple of hours to mint
1486,yes it does  
1487,okay thanks so i got talisman role does that mean im wl 
1489,woop woop to that 
1490,it will soldout in  mins maximum
1491,goodluck with mint    just added fabulosa to our mint sheet
1492, is only  really homeless 
1493, sol of white listed
1494,how much for fabulosa mint 
1495,lets go
1498,hey hey  
1499,so extited for todays mint
1500,hi hi
1501,i already sold this bro lazy to change the pfp
1502,yeah its great move not to get dump
1503,nice aomfam
1504,wanna chat
1505,this wont be the case with us since we are minting on our own candy machine  me listing will be possible only after the mint
1506,gm
1508,yeah but its possible all new mints are listed even before soldout but here you can only list after soldout
1509,hi guys excited for the mint
1510,hi
1511,morning famm
1512,paper hand selling  sol 
1513,that is obvious
1514,i literally have  sol only thats why i am asking
1515,ok
1516,it will be something like that not pretty much
1517,sameall transactions fee are the same
1518,mint fee bro in magiceden  for every mint
1520,lets go guys
1521,you mean mint price  
1522,fee
1523, utc
1524,more chance for  fp
1525,lfg cant wait for mint
1526,yooooo
1527,still dont have a token
1528,how much is the mint fee
1529,how much time till mint 
1530,yo
1531,and is bear market  sol is very very good
1532,agreed
1533,who sell  lol
1534,bro even for fomo this is not possible gen  at  sol so gen   is expected
1535,as long as you hold the talisman you have guaranteed mint  
1536,keep mint counter as well on website to know how many minted
1537,gm
1538,sometimes bro btw how r u doing
1539,is it a guaranteed mint or fcfs
1540,gm
1541,sure bro nearly mint time token price moon
1542,delist ur token
1543,thx for the info sir
1544,okeey iam understand sir
1545,we will mint with our candy machine mint link will be posted in 
1546,yes on our website
1547,delist ur token
1548,dont sell wl token paper hand so bad
1549,last night man i just woke up and saw i won the about  hours ago there was anyone from there and said to me to open a ticket and say that too like he did
1550,will the mint be in its own place sir not in me
1551,these paperhands get knowledge from that only lol    
1552,uk but it works
1553,im waitin
1554,sure
1555,okay serr
1556,true
1557,yes
1558,airdrop still going
1559,we are good without it   
1560,hi
1561,   we need some fud lol    
1562,morning
1563,u r not got because check 
1564,hi all
1565,mint bro least  fp  sol
1566,when was that  because wallet submission closed yesterday
1567,they are happy with wages lol
1568,these paperhands are bullshit people
1569,guys
1570,if u see token at  go buy it now without hesitation
1571,looks like you got the wl role if you submitted the form from  in time your good
1572,i think wp token least  or  sol coming
1573, not sure
1574,lfg to the moon again
1575,sure bro public mint is not sure
1576,i won from okay bears joined the discord a while now still havent gotten my role
1577,yes our second collection connected to bohemia throw woop token
1578,i dont give fake calls been an caller for almost  communities
1579,fp to  sol after mint for sureee
1580,now also i m warning everyone  delist ur token or if u wana list list it above  sol u will regret later
1581,yell
1582,yes
1583,understand this is the project  sir 
1584,fp  over
1585,guys dont sell least  
1586,paper hands are assholesss
1587,i won it in gothic degen red skull society guy there just told me to write a ticket
1588,that will go a minimum too  sol before mint
1590,i got my talisman  
1591,and how much for publik mint ser 
1592,around  sol
1593,if you asking mint price
1594,hi  fam
1596,how much price for wl sir
1597,can anyone tell me the current fp i m not at my pc
1598,where and when did you win
1599,got mine excited thanks team
1600,check fff history
1601,it will start booming soon 
1602,hello
1603,hi
1604,current fp of the token
1605,yeah so you should get that wallet right
1606,thanks fam
1607,the question is that i got a talisman only does that mean that iam white listed for a fabulosa
1608,its very clear in     
1609,try to read 
1610,hey  
1611,hi
1612,me too 
1613,hi guys mint date mint price
1615,yet
1616,you can buy token from fff
1617,good looking
1618,heya
1619,mint is  utc 
1620,how to clam wl for talisan from giveaway 
1621,yoo mates
1623,havent receive token yet 
1624,because i dont have the talisman role yet  
1626, hi
1628,nope
1629,i won wl there
1630,yay just recieved mine too
1631,regards from gothic degens
1632,now i cant find mint button in official website
1633,great if you got one do you have to verify
1634,gm
1635,heej
1636,gm
1637,sir wen you are going to verify wl token on fff
1638,buzzing for this mint art is so cool and roadmap oooffff
1639,its still being distributed as you can read in   
1640,i think i forgot submit my wallet
1641, hello bro i dont have token income
1642,indeed we do hope you are doing great as well 
1644,hope you are having a great day everyone
1645,im not yet receive  
1646,there are still a few hours before the public sale time
1647,submit wallet close
1648,its   am utc
1649,you can type in google   utc my time
1651, everything was explained well fam much more info was provided in   
1652,presale at  pm utc and public on  utc
1654,is it on sale at  oclock tonight
1655, please verify wl token on fff
1656,gm
1657,yessir
1658,you will receive it soon enough   
1659,fp price
1660,yeah 
1661,everyting looks beautiful the key is   speackless  the nft also
1662,luckkkyyyy im still waiting
1663,sup bro
1665,just received mine   all locked and loaded ready to cast the spell   
